,Y1.CRNT,Y2.CRNT,Y3.CRNT,O1.CRNT,O2.CRNT,O3.CRNT,Y1.YCNT,Y2.YCNT,Y3.YCNT,O1.YCNT,O2.YCNT,O3.YCNT
FBgn0031208,102,93,67,84,94,50,216,238,253,137,304,181
FBgn0263584,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0267987,18,5,11,2,16,9,36,29,36,20,48,24
FBgn0266878,3,0,0,0,0,0,4,3,0,1,0,0
FBgn0266879,0,1,0,0,0,0,0,0,0,0,1,0
FBgn0067779,6,5,15,0,9,9,23,29,8,30,12,37
FBgn0031213,156,100,103,94,148,78,304,306,313,163,425,298
FBgn0031214,6,4,6,15,26,3,40,30,17,13,49,22
FBgn0031216,2,3,2,0,5,11,11,1,8,1,9,6
FBgn0031217,53,34,37,35,76,23,100,85,109,58,135,90
FBgn0005278,301,228,205,242,396,251,793,810,789,364,1084,621
FBgn0031228,1176,1105,850,1095,1332,915,3105,3473,3135,1957,4710,2759
FBgn0266304,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0001142,396,368,386,482,579,402,1438,1242,1020,851,1739,1089
FBgn0265074,0,6,2,5,5,2,6,6,5,7,16,3
FBgn0265075,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0031224,57,45,41,42,66,41,142,180,159,69,266,120
FBgn0031229,56,58,44,59,85,41,150,185,120,104,252,121
FBgn0016977,59,62,48,81,154,75,211,160,160,116,350,135
FBgn0031231,273,233,211,250,373,262,732,764,717,461,1096,591
FBgn0031233,38,34,32,44,93,32,133,132,204,94,213,140
FBgn0265151,1,0,0,0,1,0,1,6,1,3,8,0
FBgn0265153,4,7,0,0,4,1,8,9,12,3,35,6
FBgn0265152,3,0,0,9,4,4,4,13,4,5,17,4
FBgn0031235,94,56,51,92,74,55,137,221,168,97,277,190
FBgn0265149,1,0,0,6,9,0,5,2,18,2,11,13
FBgn0265150,0,0,0,0,0,0,0,0,0,0,0,0
FBgn0031240,136,97,77,120,136,93,270,335,291,236,535,246
